site,plot,tag,species,litterMass.wcorr.T0,dowelMass.wcorr.T0,time.point,litterMass.wcorr,dowelMass.wcorr,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,days_elapsed,years_elapsed,k_litter,soil.vwc,GWC,WHC,MAT,MAP,Elevation,Longitude,Latitude,Species,soil.SIR,soil.pH,high.rep
BART,3,33,ACRU,5.790218978,2.142,1,3.205889391,2.022546196,2.584329587,0.446326745,0.119453804,0.055767416,299,0.819178082,0.721675263,13.9,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,34,ACRU,5.620966423,2.385,1,3.162701224,2.346392219,2.458265199,0.437338531,0.038607781,0.016187749,299,0.819178082,0.702017233,13.9,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,37,ACRU,5.678868613,2.097,2,2.803,1.5694,2.875868613,0.506415769,0.5276,0.25159752,649,1.778082192,0.397091741,24.8,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,38,ACRU,5.674414599,2.358,1,3.489680759,2.316755559,2.18473384,0.385014842,0.041244441,0.017491281,299,0.819178082,0.593469424,13.9,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,4,41,FAGR,5.865757542,2.016,2,4.0396,0.3592,1.826157542,0.311325098,1.6568,0.821825397,649,1.778082192,0.209768683,33.53333333,0.513558889,0.644422163,6.2,1325,232,-71.28869421,44.06396489,FAGR,10.3919767,4.6,FALSE
BART,4,42,FAGR,5.746655866,2.304,1,4.469949246,2.053346638,1.27670662,0.222165143,0.250653362,0.108790522,299,0.819178082,0.306698932,17.73333333,0.513558889,0.644422163,6.2,1325,232,-71.28869421,44.06396489,FAGR,10.3919767,4.6,FALSE
BART,5,43,FAGR,5.634492308,2.349,2,2.399,0.3137,3.235492308,0.574229608,2.0353,0.86645381,649,1.778082192,0.480211245,18.7,0.442218594,0.622634877,6.2,1325,232,-71.2866807,44.0640836,FAGR,10.16681017,4.49,FALSE
BART,5,45,FAGR,5.790369231,2.277,1,4.770719364,2.275889,1.019649867,0.176094101,0.001111,0.000487923,299,0.819178082,0.236455248,4.266666667,0.442218594,0.622634877,6.2,1325,232,-71.2866807,44.0640836,FAGR,10.16681017,4.49,FALSE
BART,6,46,ACRU,5.434713012,2.358,1,3.553649965,2.335183013,1.881063047,0.346120033,0.022816987,0.009676415,299,0.819178082,0.518606992,5.1,0.573734372,0.707501728,6.2,1325,232,-71.28642944,44.06423738,ACRU,18.46942283,4.24,FALSE
BART,6,48,ACRU,5.785188916,2.25,2,3.5513,1.8254,2.233888916,0.38613932,0.4246,0.188711111,649,1.778082192,0.274445852,27.33333333,0.573734372,0.707501728,6.2,1325,232,-71.28642944,44.06423738,ACRU,18.46942283,4.24,FALSE
